연번,구분,시설명칭,주소,위도,경도,데이터기준일자
1,배수펌프장,용봉배수펌프장,광주광역시 광산구 용봉길92(용봉동),35.07161914,126.7715351,2022.12.31
2,배수펌프장,동곡배수펌프장,광주광역시 광산구 마곡길39(본덕동),35.08427902,126.7876319,2022.12.31
3,배수펌프장,송대배수펌프장,광주광역시 광산구 송대동 13-5,35.10579172,126.8045407,2022.12.31
4,배수펌프장,우산배수펌프장,광주광역시 광산구 우산천변길261(우산동),35.15318904,126.8233164,2022.12.31
5,배수펌프장,운남배수펌프장,광주광역시 광산구 우산동 591,35.16568478,126.8208798,2022.12.31
6,배수펌프장,송정배수펌프장,광주광역시 광산구 황룡동 415-4,35.12479371,126.7853887,2022.12.31
7,배수펌프장,죽산배수펌프장,광주광역시 광산구 송산동 255-10,35.15823595,126.7332433,2022.12.31
8,배수펌프장,산수배수펌프장,광주광역시 광산구 송치동 183-18,35.17388253,126.7404356,2022.12.31
9,배수펌프장,산막배수펌프장,광주광역시 광산구 선동 3-9,35.1968948,126.7584374,2022.12.31
10,배수펌프장,와산배수펌프장,광주광역시 광산구 오산동 46-8,35.24002729,126.7336911,2022.12.31
11,간이배수장,서호 간이배수장,광주광역시 광산구 유계동 520-2,35.08940011,126.7853113,2022.12.31
12,간이배수장,신촌 간이배수장,광주광역시 광산구 신촌동 59-4,35.13726447,126.8213065,2022.12.31
13,간이배수장,장암 간이배수장,광주광역시 광산구 우산동 220-31,35.14250381,126.8259544,2022.12.31
14,간이배수장,매결마을 간이배수장,광주광역시 광산구 신창동 1021-13,35.18190198,126.8412353,2022.12.31
15,간이배수장,신창1 간이배수장,광주광역시 광산구 신창동 170-16,35.18305942,126.8501561,2022.12.31
16,간이배수장,신가1 간이배수장,광주광역시 광산구 신가동 743-1,35.17691295,126.8294116,2022.12.31
17,간이배수장,신가2 간이배수장,광주광역시 광산구 신가동 756-12,35.17635883,126.8302051,2022.12.31
18,간이배수장,신기마을 간이배수장,광주광역시 광산구 신창동 77-32,35.18977158,126.8584304,2022.12.31
19,간이배수장,산월1 간이배수장,광주광역시 광산구 신창동 10-41,35.19514616,126.8543216,2022.12.31
20,간이배수장,산월2 간이배수장,광주광역시 광산구 신창동 10-4,35.19509529,126.8539918,2022.12.31
21,간이배수장,장록3 간이배수장,광주광역시 광산구 장록동 1-136,35.13736718,126.7820107,2022.12.31
22,간이배수장,신덕 간이배수장,광주광역시 광산구 송정동1125-15,35.13499151,126.7862917,2022.12.31
23,간이배수장,월봉 간이배수장,광주광역시 광산구 산월동 819-6,35.19798737,126.8513998,2022.12.31
24,간이배수장,도산 우방 간이배수장,광주광역시 광산구 평동로1098번길 185,35.12815313,126.7822794,2022.12.31
25,간이배수장,박뫼마을 간이배수장,광주광역시 광산구 박호동 585-10,35.16077232,126.7382636,2022.12.31
26,배수문,용봉배수펌프장 배수문,광주광역시 광산구 용봉길 92,35.07161914,126.7715351,2022.12.31
27,배수문,동곡배수펌프장 배수문,광주광역시 광산구 마곡길 39,35.08427902,126.7876319,2022.12.31
28,배수문,송정배수펌프장 배수문,광주광역시 광산구 황룡동 415-4,35.12479371,126.7853887,2022.12.31
29,배수문,송대배수펌프장 배수문,광주광역시 광산구 송대동 13-5,35.10579172,126.8045407,2022.12.31
30,배수문,우산배수펌프장 배수문,광주광역시 광산구 우산천변길 261,35.15318904,126.8233164,2022.12.31
31,배수문,운남배수펌프장 배수문,광주광역시 광산구 풍영철길로 106-2,35.16549724,126.820837,2022.12.31
32,배수문,죽산배수펌프장 배수문,광주광역시 광산구 송산동 255-10,35.15823595,126.7332433,2022.12.31
33,배수문,산수배수펌프장 배수문,광주광역시 광산구 송치동 183-18,35.17388253,126.7404356,2022.12.31
34,배수문,산막배수펌프장 배수문,광주광역시 광산구 선동 3-9,35.1968948,126.7584374,2022.12.31
35,배수문,서호간이배수장 배수문,광주광역시 광산구 유계동 520-2,35.08940011,126.7853113,2022.12.31
36,배수문,신촌간이배수장 배수문,광주광역시 광산구 신촌동 59-2,35.13701483,126.8215167,2022.12.31
37,배수문,신창간이배수장 배수문,광주광역시 광산구 신창동 868-3,35.18147006,126.8403528,2022.12.31
38,배수문,신창1간이배수장 배수문,광주광역시 광산구 신창동 199-7,35.1824028,126.8503183,2022.12.31
39,배수문,산월1간이배수장 배수문,광주광역시 광산구 신창동 10-41,35.19514616,126.8543216,2022.12.31
40,배수문,산월2간이배수장 배수문,광주광역시 광산구 신창동 10-4,35.19509529,126.8539918,2022.12.31
41,배수문,장록3간이배수장 배수문,광주광역시 광산구 장록동 1-136,35.13736718,126.7820107,2022.12.31
42,배수문,신덕간이배수장 배수문,광주광역시 광산구 송정동1125-15,35.13499151,126.7862917,2022.12.31
43,배수문,월봉간이배수장 배수문,광주광역시 광산구 산월동 819-7,35.19807567,126.851662,2022.12.31
44,배수문,마곡 배수문,광주광역시 광산구 본덕동 37,35.08051983,126.7869493,2022.12.31
45,배수문,송대1 배수문,광주광역시 광산구 송대동 619-2,35.10634069,126.7967775,2022.12.31
46,배수문,송대2 배수문,광주광역시 광산구 송대동 844-2,35.10848833,126.7951454,2022.12.31
47,배수문,대촌 배수문,광주광역시 광산구 송대동 577,35.10532258,126.7933556,2022.12.31
48,배수문,유림 배수문,광주광역시 광산구 유계동 553-4,35.09157007,126.7852124,2022.12.31
49,배수문,하산3 배수문,광주광역시 광산구 하산동 502-8,35.10060283,126.7752082,2022.12.31
50,배수문,하산1 배수문,광주광역시 광산구 하산동 485-9,35.10320483,126.7725635,2022.12.31
51,배수문,하산2 배수문,광주광역시 광산구 하산동 477-10,35.10416222,126.7726367,2022.12.31
52,배수문,옥동 배수문,광주광역시 광산구 연산동 1137-5,35.1180345,126.7577968,2022.12.31
53,배수문,장록1 배수문,광주광역시 광산구 장록동 51-4,35.12890407,126.7772302,2022.12.31
54,배수문,장록2 배수문,광주광역시 광산구 장록동 738-6,35.13301249,126.779851,2022.12.31
55,배수문,장록4 배수문,광주광역시 광산구 장록동 122-3,35.131763,126.779194,2022.12.31
56,배수문,지죽 배수문,광주광역시 광산구 지죽동 233-2,35.14649961,126.7620051,2022.12.31
57,배수문,운평 배수문,광주광역시 광산구 지평동 138-3,35.15705961,126.7317805,2022.12.31
58,배수문,입석 배수문,광주광역시 광산구 산수동 142-1,35.17965101,126.7477739,2022.12.31
59,배수문,본량3 배수문,광주광역시 광산구 산수동 101-1,35.18619694,126.7498764,2022.12.31
60,배수문,본량2 배수문,광주광역시 광산구 산수동 47-1,35.19069545,126.7505523,2022.12.31
61,배수문,본량1 배수문,광주광역시 광산구 선동 46-2,35.19407759,126.7544277,2022.12.31
62,배수문,임곡 배수문,광주광역시 광산구 임곡동 716-1,35.21502467,126.742613,2022.12.31
63,배수문,금석 배수문,광주광역시 광산구 사호동 626-1,35.21885442,126.7366248,2022.12.31
64,배수문,사호 배수문,광주광역시 광산구 사호동 253-1,35.22363745,126.7335527,2022.12.31
65,배수문,광산2 배수문,광주광역시 광산구 광산동 687-65,35.24190906,126.7389221,2022.12.31
66,배수문,광산1 배수문,광주광역시 광산구 광산동 233-5,35.24501238,126.7390012,2022.12.31
67,배수문,산막 배수문,광주광역시 광산구 선동 1-6,35.19670731,126.758886,2022.12.31
68,배수문,등임 배수문,광주광역시 광산구 등임동 501-5,35.18516935,126.7519562,2022.12.31
69,배수문,박호5 배수문,광주광역시 광산구 박호동 232-1,35.17889843,126.7502329,2022.12.31
70,배수문,박호4 배수문,광주광역시 광산구 박호동 620-3,35.17713589,126.7481709,2022.12.31
71,배수문,박호3 배수문,광주광역시 광산구 박호동 627,35.17579973,126.7461484,2022.12.31
72,배수문,박호2 배수문,광주광역시 광산구 박호동 292-4,35.17428318,126.7453219,2022.12.31
73,배수문,박호1 배수문,광주광역시 광산구 박호동 634-2,35.17112458,126.7408244,2022.12.31
74,자연배수문,용봉 자연배수문,광주광역시 광산구 용봉동 251-24,35.07121811,126.772536,2022.12.31
75,자연배수문,신기 자연배수문,광주광역시 광산구 신창동 77-29,35.18951901,126.8585834,2022.12.31
76,자연배수문,용봉 1 자연배수문,광주광역시 광산구 용봉동 44-42,35.07350232,126.778405,2022.12.31
77,자연배수문,용봉 2 자연배수문,광주광역시 광산구 용봉동 39-23,35.07477662,126.7802085,2022.12.31
78,자연배수문,마곡 자연배수문,광주광역시 광산구 본덕동 37,35.08051983,126.7869493,2022.12.31
79,자연배수문,운남 1 자연배수문,광주광역시 광산구 운남동 544-59,35.16734331,126.8242219,2022.12.31
80,자연배수문,운남 3 자연배수문,광주광역시 광산구 운남동 20-2,35.17107407,126.8291663,2022.12.31
81,자연배수문,신가 자연배수문,광주광역시 광산구 신가동 200-289,35.17218579,126.8318673,2022.12.31
82,자연배수문,운남 5 자연배수문,광주광역시 광산구 신가동 100-1,35.17526075,126.8360579,2022.12.31
83,자연배수문,신창 1 자연배수문,광주광역시 광산구 신창동 201-5,35.18247633,126.850516,2022.12.31
84,자연배수문,신창 1-1 자연배수문,광주광역시 광산구 신창동 77-170,35.18816085,126.8582688,2022.12.31
85,자연배수문,신창 1-2 자연배수문,광주광역시 광산구 신창동 11-4,35.19214137,126.8585434,2022.12.31
86,자연배수문,신창 1-3 자연배수문,광주광역시 광산구 신창동 11-4,35.19214137,126.8585434,2022.12.31
87,자연배수문,신창 2 자연배수문,광주광역시 광산구 신창동 165-8,35.18228107,126.8481784,2022.12.31
88,자연배수문,월봉 2 자연배수문,광주광역시 광산구 산월동 334-12,35.20512073,126.8522559,2022.12.31
89,자연배수문,도산우방 자연배수문,광주광역시 광산구 평동로1098번길 185,35.12815313,126.7822794,2022.12.31
90,자연배수문,용운 자연배수문,광주광역시 광산구 선암동 41-2,35.14098456,126.7853685,2022.12.31
91,자연배수문,송산교 1 자연배수문,광주광역시 광산구 지평동 105-9,35.15405524,126.7356912,2022.12.31
92,자연배수문,송산교 2 자연배수문,광주광역시 광산구 지평동 106-1,35.15350902,126.7371436,2022.12.31
93,자연배수문,박호 1 자연배수문,광주광역시 광산구 박호동 584-25,35.17000925,126.739399,2022.12.31
94,자연배수문,박호 3 자연배수문,광주광역시 광산구 송치동 60-18,35.17242369,126.742975,2022.12.31
95,자연배수문,황계 1 자연배수문,광주광역시 광산구 남산동 24-2,35.16777025,126.7349789,2022.12.31
96,자연배수문,본량 3 자연배수문,광주광역시 광산구 산수동 21-3,35.19164663,126.7513293,2022.12.31
97,자연배수문,본량 4 자연배수문,광주광역시 광산구 선동 716-23,35.19248646,126.7525385,2022.12.31
98,자연배수문,본량 5 자연배수문,광주광역시 광산구 선동 780-1,35.19312725,126.7531656,2022.12.31
99,자연배수문,본량 7 자연배수문,광주광역시 광산구 선동 43-3,35.19517264,126.7553193,2022.12.31
100,자연배수문,본량 8 자연배수문,광주광역시 광산구 선동 14-1,35.19598943,126.7559819,2022.12.31
101,자연배수문,본량 9 자연배수문,광주광역시 광산구 선동 23-1,35.19806688,126.7566168,2022.12.31
102,자연배수문,본량 10 자연배수문,광주광역시 광산구 산막동 504-17,35.20153895,126.7570977,2022.12.31
103,자연배수문,본량 11 자연배수문,광주광역시 광산구 선동 701-16,35.20328787,126.757067,2022.12.31
104,자연배수문,본량 12 자연배수문,광주광역시 광산구 선동 293-3,35.20535433,126.7551095,2022.12.31
105,자연배수문,본량 13 자연배수문,광주광역시 광산구 선동 698-4,35.20626355,126.7541491,2022.12.31
106,자연배수문,산막 1 자연배수문,광주광역시 광산구 산막동 825-2,35.18966095,126.7524283,2022.12.31
107,자연배수문,산막 2 자연배수문,광주광역시 광산구 산막동 820-2,35.19086434,126.7530457,2022.12.31
108,자연배수문,산막 4 자연배수문,광주광역시 광산구 산막동 508-1,35.19973633,126.7589884,2022.12.31
109,자연배수문,산막 5 자연배수문,광주광역시 광산구 산막동 515-6,35.20108119,126.7593281,2022.12.31
110,자연배수문,산막 6 자연배수문,광주광역시 광산구 산막동 485-3,35.20493882,126.7579434,2022.12.31
111,자연배수문,산막 7 자연배수문,광주광역시 광산구 산막동 344-10,35.20636654,126.756541,2022.12.31
112,자연배수문,광산 1 자연배수문,광주광역시 광산구 광산동 666-22,35.22516259,126.7356348,2022.12.31
113,자연배수문,광산 2 자연배수문,광주광역시 광산구 광산동 645-5,35.23284927,126.7333312,2022.12.31
114,자연배수문,광산 3 자연배수문,광주광역시 광산구 광산동 328-2,35.23864127,126.7367311,2022.12.31
115,자연배수문,광산 3-1 자연배수문,광주광역시 광산구 광산동 328-2,35.23864127,126.7367311,2022.12.31
116,자연배수문,광산 4 자연배수문,광주광역시 광산구 광산동 335-16,35.23920833,126.7380318,2022.12.31
117,자연배수문,광산 6 자연배수문,광주광역시 광산구 광산동 687-7,35.24381904,126.739059,2022.12.31
118,자연배수문,광산 8 자연배수문,광주광역시 광산구 광산동 230-21,35.24696589,126.7402297,2022.12.31
119,자연배수문,광산 9 자연배수문,광주광역시 광산구 광산동 230-18,35.24871142,126.7411911,2022.12.31
120,자연배수문,광산 10 자연배수문,광주광역시 광산구 광산동 230-13,35.25032152,126.7424706,2022.12.31
121,자연배수문,오산 1 자연배수문,광주광역시 광산구 오산동 362-3,35.23194593,126.7317378,2022.12.31
122,자연배수문,오산 2 자연배수문,광주광역시 광산구 오산동 235-2,35.23976397,126.7337965,2022.12.31
123,자연배수문,오산 3 자연배수문,광주광역시 광산구 오산동 133-3,35.2452189,126.7372626,2022.12.31
124,자연배수문,오산 4 자연배수문,광주광역시 광산구 오산동 22-4,35.25102416,126.74072,2022.12.31
125,자연배수문,임곡 1 자연배수문,광주광역시 광산구 임곡동 894-16,35.21520532,126.7419888,2022.12.31
126,자연배수문,임곡 2 자연배수문,광주광역시 광산구 임곡동 608-3,35.21470876,126.7437226,2022.12.31
127,자연배수문,임곡 3 자연배수문,광주광역시 광산구 임곡동 592-1,35.21425763,126.7448319,2022.12.31
128,자연배수문,임곡 4 자연배수문,광주광역시 광산구 임곡동 589-5,35.2139119,126.7455281,2022.12.31
129,자연배수문,임곡 5 자연배수문,광주광역시 광산구 임곡동 585-8,35.2134796,126.7460382,2022.12.31
130,자연배수문,임곡 6 자연배수문,광주광역시 광산구 임곡동 585-10,35.21290193,126.7465151,2022.12.31
131,자연배수문,임곡 7 자연배수문,광주광역시 광산구 임곡동 634-1,35.21250156,126.7470784,2022.12.31
